"kartez","genus","sp.epithet","LifeHistory","FunctionalGroup","PhotoPath"
"SPCR","Sporobolus","cryptandrus","perennial","grass","C4"
"EUEX4","Euphorbia","exstipulata","annual","forb","C3"
"GUSA2","Gutierrezia","sarothrae","perennial","shrub","C3"
"BOER4","Bouteloua","eriopoda","perennial","grass","C4"
"TILA2","Tidestromia","lanuginosa","annual","forb","C4"
"CHSE7","Chamaesyce","serrula","annual","forb","C4"
"CHLA10","Chamaesyce","lata","perennial","forb","C4"
"SPCO4","Sporobolus","contractus","perennial","grass","C4"
"CHSES","Chamaesyce","serpyllifolia","annual","forb","C4"
"SPPO6","Sphaeralcea","polychroma","perennial","forb","C3"
"CHRE4","Chamaesyce","revoluta","annual","forb","C4"
"PLJA","Pleuraphis","jamesii","perennial","grass","C4"
"SCBR2","Scleropogon","brevifolius","perennial","grass","C4"
"HODR","Hoffmannseggia","drepanocarpa","perennial","forb","C3"
"BOGR2","Bouteloua","gracilis","perennial","grass","C4"
"DAPU7","Dasyochloa","pulchella","perennial","grass","C4"
"SPHA","Sphaeralcea","hastulata","perennial","forb","C3"
"KAPA","Kallstroemia","parviflora","annual","forb","C4"
"MUAR2","Muhlenbergia","arenicola","perennial","grass","C4"
"TRRA","Tragus","racemosus","annual","grass","C3"
"ALIN","Allionia","incarnata","perennial","forb","C4"
"LEFE","Lesquerella","fendleri","perennial","forb","C3"
"BOBA2","Bouteloua","barbata","annual","grass","C4"
"EPTO","Ephedra","torreyana","perennial","shrub","C3"
"OPPH","Opuntia","phaeacantha","perennial","shrub","CAM"
"MAPIP","Machaeranthera","pinnatifida","perennial","forb","C3"
"ENDE","Enneapogon","desvauxii","perennial","grass","C4"
"CYIMI","Cylindropuntia","imbricata","perennial","shrub","CAM"
"SPFL2","Sporobolus","flexuosus","perennial","grass","C4"
"PEAN","Pectis","angustifolia","annual","forb","C4"
"CHER2","Chaetopappa","ericoides","perennial","forb","C3"
"ARPU9","Aristida","purpurea","perennial","grass","C4"
"BAABA","Bahia","absinthifolia","perennial","forb","C3"
"ARDI5","Aristida","divaricata","perennial","grass","C4"
"SOEL","Solanum","elaeagnifolium","perennial","forb","C3"
"ARLUL2","Artemisia","ludoviciana","perennial","forb","C3"
"MUPO2","Muhlenbergia","porteri","perennial","grass","C4"
"THAC","Thymophylla","acerosa","perennial","forb","C3"
"MELE2","Melampodium","leucanthum","perennial","forb","C3"
"SPAI","Sporobolus","airoides","perennial","grass","C4"
"OPMA8","Opuntia","macrocenta","perennial","shrub","CAM"
"MESC","Menodora","scabra","perennial","forb","C3"
"SEDI3","Selinocarpus","diffusus","perennial","shrub","C3"
"ASMIM","Astragalus","missouriensis","perennial","forb","C3"
"SATR12","Salsola","tragus","annual","forb","C4"
"APRAH","Aphanostephus","ramosissimus","perennial","forb","C3"
"LIPU4","Linum","puberulum","annual","forb","C3"
"OECA10","Oenothera","caespitosa","perennial","forb","C3"
"PLPA2","Plantago","patagonica","annual","forb","C3"
"CRCR3","Cryptantha","crassisepala","annual","forb","C3"
"IPPU4","Ipomopsis","pumila","annual","forb","C3"
"MAFE","Malacothrix","fendleri","annual","forb","C3"
"PHIN","Phacelia","integrifolia","perennial","forb","C3"
"ALMA4","Allium","macropetalum","perennial","forb","C3"
"CYACF","Cymopterus","acaulis","perennial","forb","C3"
